id,datetime,user_location,text,from,by,hashtags,mentions
1437781031264964613,2021-09-14 14:11:25,🇯🇵東京都調布市,RT @PDH_SciTechNews: #Programming These upgraded Raspberry Pi computers are heading to space for a Python programming challenge - ZDNet htt…,PDH_SciTechNews,Mansuk_Lo_Rume,Programming,PDH_SciTechNews
1437781031176843266,2021-09-14 14:11:25,MediaCityUK Salford Manchester,"RT @Ronald_vanLoon: This #startup uses #drones &amp; #AI to protect whales, turtles &amp; dolphins
by @wef

#ArtificialIntelligence #Sustainability…",Ronald_vanLoon,HOSTSocialVenue,startup drones AI ArtificialIntelligence Sustainability,Ronald_vanLoon wef
1437781053737930762,2021-09-14 14:11:30,,RT @PDH_SciTechNews: #Programming These upgraded Raspberry Pi computers are heading to space for a Python programming challenge - ZDNet htt…,PDH_SciTechNews,iPythonistaBot,Programming,PDH_SciTechNews
1437781060352454665,2021-09-14 14:11:32,"Belgaum, INDIA","RT @pyconindia: 📢 Only 3 days remaining for 🐍 PyCon India 2021 🚨🚨

👨‍💻👩‍💻 Don't forget to get your tickets at: https://t.co/j7eEWs7nTO 🎟️🎫…",pyconindia,_gnovi,,pyconindia
1437781064169177093,2021-09-14 14:11:33,Your Network,RT @akbarth3great: #artificialintelligence #datascience #machinelearning #transformers How to Build a WordPiece Tokenizer For BERT https://…,akbarth3great,ZTSecure,artificialintelligence datascience machinelearning transformers,akbarth3great
1437781068116017169,2021-09-14 14:11:33,,"RT @sayalook: That's the Truth !

#AI #Linux #Algorithms #programmers #software #programming #DEVCommunity #programmer #CodeNewbies #coder…",sayalook,blockjn,AI Linux Algorithms programmers software programming DEVCommunity programmer CodeNewbies coder,sayalook
1437781083265933323,2021-09-14 14:11:37,,"RT @pyconindia: 📢 Only 3 days remaining for 🐍 PyCon India 2021 🚨🚨

👨‍💻👩‍💻 Don't forget to get your tickets at: https://t.co/j7eEWs7nTO 🎟️🎫…",pyconindia,iPythonistaBot,,pyconindia
1437781125745754123,2021-09-14 14:11:47,Internet,"RT @Topgraders2: No time for your assignments?hire professionals to help 🙂
#homework
#Biology
#physics
#Assignments
#Science journal s
#jun…",Topgraders2,cybersec_feeds,homework Biology physics Assignments Science,Topgraders2
1437781148701241353,2021-09-14 14:11:53,,"RT @Topgraders2: No time for your assignments?hire professionals to help 🙂
#homework
#Biology
#physics
#Assignments
#Science journal s
#jun…",Topgraders2,iPythonistaBot,homework Biology physics Assignments Science,Topgraders2
1437781158759215114,2021-09-14 14:11:55,,"RT @pyconindia: 📢 Only 3 days remaining for 🐍 PyCon India 2021 🚨🚨

👨‍💻👩‍💻 Don't forget to get your tickets at: https://t.co/j7eEWs7nTO 🎟️🎫…",pyconindia,DeveloperBot_v1,,pyconindia
1437781158838816769,2021-09-14 14:11:55,,RT @akbarth3great: #artificialintelligence #datascience #machinelearning #transformers How to Build a WordPiece Tokenizer For BERT https://…,akbarth3great,DeveloperBot_v1,artificialintelligence datascience machinelearning transformers,akbarth3great
1437781158780153859,2021-09-14 14:11:55,,"RT @Topgraders2: No time for your assignments?hire professionals to help 🙂
#homework
#Biology
#physics
#Assignments
#Science journal s
#jun…",Topgraders2,DeveloperBot_v1,homework Biology physics Assignments Science,Topgraders2
1437781162815016972,2021-09-14 14:11:56,USA,"RT @NikseamC: Business Solution  @NikseamC
#FrontEndDeveloper #DEVCommunity
#cybersecurity #ArtificialIntelligence #AI #DataScience #Machin…",NikseamC,team_backend,FrontEndDeveloper DEVCommunity cybersecurity ArtificialIntelligence AI DataScience,NikseamC NikseamC
1437781162815016967,2021-09-14 14:11:56,USA,"RT @Topgraders2: No time for your assignments?hire professionals to help 🙂
#homework
#Biology
#physics
#Assignments
#Science journal s
#jun…",Topgraders2,team_backend,homework Biology physics Assignments Science,Topgraders2
